关键词,页码,序号,书名,score
老年人 读物,3,3,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】,67.43333333333332
老年人 读物,3,4,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】,65.02499999999999
老年人 读物,3,5,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】,62.61666666666666
老年人 读物,3,6,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】飘,60.20833333333332
老年人 读物,3,7,河南经典豫剧U盘MP4高清戏曲卡老人看戏机黄梅戏TF卡优盘戏曲大全 16G戏曲综合1088首 看的 0.1KB 优盘,57.79999999999999
老年人 读物,3,8,乐乐趣 绘本 亲亲儿童图书绘本3-6岁 早教启蒙认知励志成长 睡前故事书 儿童绘本故事 长大我要当老人,55.39166666666665
老年人 读物,3,9,老人与海（英汉双语版）,52.98333333333333
老年人 读物,3,10,他们从未忘记你：为阿尔茨海默病老人制造欢乐时光,50.57499999999999
老年人 读物,3,11,老人与海 小王子 小学生课外阅读书籍三四五六年级必读世界经典文学名著青少年儿童故事书 名师精读版,48.166666666666664
老年人 读物,3,12,世界经典文学名著畅销小说课外读物：(全英文原版)小王子+老人与海+动物庄园(套装共3册),45.75833333333332
老年人 读物,3,13,童趣文学名著阅读·老人与海,43.34999999999999
老年人 读物,3,14,老人与海 《语文》推荐阅读丛书 中小学课外阅读 无障碍阅读 经典,40.941666666666656
老年人 读物,3,15,老人与海/优等生必读文库,38.533333333333324
老年人 读物,3,16,非洲民间故事 快乐读书吧五年级上推荐书目 老人的智慧 一个吹号手 贪心的木匠 名师教你读经典系列,36.12499999999999
老年人 读物,3,17,小王子+老人与海英文版书籍 全英文原版畅销小说阅读 世界经典文学名著(全2册),33.71666666666666
老年人 读物,3,18,日渐衰老意味着什么,31.30833333333333
老年人 读物,3,19,金融伴我成长(老年人版),28.899999999999995
老年人 读物,3,20,老人与海+青鸟+花未眠+贝多芬传+小银和我+黑塞童话集（彩绘诺贝尔系列：全6册，诺贝尔奖得主代表作，高清全彩印刷）,26.491666666666664
老年人 读物,3,21,小王子+老人与海 英文版书籍 全英文原版畅销小说阅读 世界经典文学名著(套装全2册),24.083333333333332
老年人 读物,3,22,全11册｜中英文对照双语版小王子老人与海动物庄园欧亨利短篇小说新月飞鸟盖茨比三天光明等世界名著同,21.675
老年人 读物,3,23,银发经济：抓住品牌的黄金机会,19.266666666666666
老年人 读物,3,24,全10册丨中英文双语版小王子书老人与海盖茨比三天光明安徒生格林童话伊索动物庄园等中小学课外 推荐阅读,16.858333333333327
老年人 读物,3,25,小王子+老人与海+月亮与六便士 英文版原版 世界经典文学名著 英语畅销小说课外 （套装全3册）,14.449999999999994
老年人 读物,3,26,【全3册】老人与海+假如给我三天光明+小王子 青少年课外名著阅读 文学经典原著正版课外书籍,12.04166666666666
老年人 读物,3,27,【自营】长寿时代的百岁人生：长寿的习惯+少生病的老年（共2册）,9.63333333333333
老年人 读物,3,28,送给父母的法律课堂：老年人权益保护案例精析（权益保护案例精析）,7.224999999999997
老年人 读物,3,29,【2册】 老人与海+骆驼祥子 初高中青少年课外阅读经典名著小说书籍,4.816666666666665
老年人 读物,3,30,老人与海（海明威经典精装名著，中小学课外阅读推荐，直译全译本完整无删减，含珍贵插画）,2.4083333333333323
老年人 读物,4,1,【自选】小学语文阅读课程化丛书正版完整版注音版小学生一二三年级课外书阅读课外阅读书籍同步阅读儿童故事书大全 老人与海,61.412499999999994
老年人 读物,4,2,【当当正版 套装单本可选】 快乐读书吧六年级上下册 中小学生推荐课外阅读书籍指导丛书 无障碍阅读 彩插励志版 老人与海,59.36541666666666
老年人 读物,4,3,全11册｜英文版原版名著读物小王子书老人与海动物庄园欧亨利傲慢与偏见月亮与六便士了不起的盖茨比假如给我三天光明爱丽丝鲁滨逊瓦尔登湖世界,57.31833333333333
老年人 读物,4,4,【典藏版】小王子正版书籍中文原版全译本 圣埃克苏佩里原著完整无删减法国基金会官方认证青少年阅读经典名著小王子彩色纪念版 【2册】小王子+,55.271249999999995
老年人 读物,4,5,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外 英文书籍中英双语版书籍英语书籍双语英语小说 可选套餐：童话故事 短篇小说,53.22416666666666
老年人 读物,4,6,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外 英文书籍中英双语版书籍英语书籍双语英语小说 可选套餐：童话故事 短篇小说,51.17708333333333
老年人 读物,4,7,快乐读书吧五年级下册/上册 四大名著 小学生版 西游记 三国演义 红楼梦人民教育出版社 水浒传 原著青少版社欧洲民间故事聪明的牧羊人中国民间故,49.129999999999995
老年人 读物,4,8,老人与海 中英对照注释版双语书 同步音频英文原版未删减经典文学小说书籍 中小学课外阅读推荐 世界名著畅销小说,47.082916666666655
老年人 读物,4,9,高中生必阅读课外书20册家巴金女神雷雨高老头呐喊子夜乡土中国大卫科波菲尔歌德谈话录谈美书简堂吉诃德巴黎圣母院老人与海高老头 雷雨,45.035833333333336
老年人 读物,4,10,五年级上册人教版快乐读书吧全套田螺姑娘老人的智慧聪明的牧羊人 五年级快乐读书吧上册套装,42.988749999999996
老年人 读物,4,11,正版包邮 小故事大智慧 漫画图解老人言心灵鸡汤人生哲理枕边书成功励志青春励志书籍课外 【2册】小故事大智慧+老人言 保证正版-现货速发,40.94166666666667
老年人 读物,4,12,老人与海正版海明威原著青少年版9-12-15岁4-6年级小升初中生文学世界名著中小学生课外阅读书籍四五六年级和 正版,38.89458333333333
老年人 读物,4,13,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】,36.8475
老年人 读物,4,14,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】,34.80041666666666
老年人 读物,4,15,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】,32.75333333333333
老年人 读物,4,16,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】,30.706249999999997
老年人 读物,4,17,来吧，更年期！莉萨·莫斯科尼 著《纽约时报》畅销书 更年期女性脑科学普及 更年期健康生活指南 中信出版社图书,28.659166666666664
老年人 读物,4,18,金刚经精装本注音版诵读本32开大字简体金刚般若波罗蜜经用结缘,26.61208333333333
老年人 读物,4,19,黑皮系列课外阅读：老人与海（诺贝尔文学奖得主的传世佳作）高中阅读,24.564999999999998
老年人 读物,4,20,老人与海,22.517916666666668
老年人 读物,4,21,[美绘版] 老人与海 学生版无障碍阅读名师点评美绘插图学校班主任老师推荐学生经典名著课外阅读书 人生必读书系列,20.470833333333335
老年人 读物,4,22,小王子+老人与海+动物庄园 全英文原版 课外（全3册、扫码赠音频),18.423750000000002
老年人 读物,4,23,老人与海 中文版 中小学课外阅读 世界经典文学名著,16.37666666666667
老年人 读物,4,24,三天光明+小王子+老人与海 全英文版 （全3册 扫码赠音频),14.329583333333328
老年人 读物,4,25,老人与海 新版 经典名著 大家名译（ 无障碍阅读 全译本平装）,12.282499999999995
老年人 读物,4,26,小王子+动物庄园+老人与海+泰戈尔诗选 中英对照注释版（全4册、扫码赠音频),10.235416666666664
老年人 读物,4,27,老人与海+三天光明+盖茨比+1984 全英文版课外（全4册）,8.18833333333333
老年人 读物,4,28,中英文对照双语读物·世界名著 中小学青少年课外 推荐阅读(全10册),6.141249999999998
老年人 读物,4,29,语文必读书目：老人与海,4.094166666666665
老年人 读物,4,30,秘密花园 老人与海 淘气包日记 沙乡年鉴 人类群星闪耀时 名家名译进校园（套装全五册）精装,2.0470833333333327
老年人 读物,5,1,老人与海中英对照注释版 英文版原著双语 海明威著 经典畅销世界名著,52.20062499999999
老年人 读物,5,2,【全套12册】小王子/老人与海/傲慢与偏见/简爱 /飘 英文英语原版小说 世界经典文学名著全套,50.460604166666656
老年人 读物,5,3,老年人学电脑从入门到精通,48.72058333333332
老年人 读物,5,4,老人与海 正版原著中文版全译本无删减 海明威著 世界名著文学小说书籍 青少年初中生新课标课外书籍,46.98056249999999
老年人 读物,5,5,老人与海 高中语文推荐课外阅读书籍 人民文学出版社,45.24054166666666
老年人 读物,5,6,与失智老人快乐相处 老年痴呆症患者家庭和专业护理书 老年痴呆症医学科普 阿尔茨海默病,43.500520833333326
老年人 读物,5,7,【扫码听音 赠词汇注解】老人与海双语版 英文原版中文版世界名著 中小学生课外阅读书籍,41.76049999999999
老年人 读物,5,8,8册｜英文原版名著小说书小王子傲慢与偏见老人与海动物庄园三天光明了不起的盖茨比爱丽丝鲁滨逊漂流记课外阅读文学经典,40.020479166666654
老年人 读物,5,9,艾青诗选诗集海底两万里老人与海呼兰河传巴黎圣母院世说新语初中生版七八九年级中小学生课外阅读书目 艾青诗选,38.28045833333333
老年人 读物,5,10,精选20册 小学生课外阅读书籍注音版老师推荐一二三年级课外书的儿童畅销书经典名著7-10岁课外童年书昆虫记老人与海,36.54043749999999
老年人 读物,5,11,高中必读课外书籍 高一必读课外书籍 高中课外阅读书籍必读正版书老人与海巴黎圣母院复活高老头唐吉坷德呐喊原著推荐适合高中生看的名著课外书,34.80041666666666
老年人 读物,5,12,玩转智能手机 开启老年幸福生活 第二版 智能手机基本设置信息通讯网购娱乐让更好使用手机科普书籍,33.060395833333324
老年人 读物,5,13,失能老年人居家照护者_李善玲刘浩责_刘芳_曾尔亢湖北科学技术出版社9787570611706 科普读,31.32037499999999
老年人 读物,5,14,HKNL粤语讲古卡古龙金庸武侠小说全集郑达讲古粤语古仔老人粤语评书卡 粤语评书卡，没有机器,29.58035416666666
老年人 读物,5,15,老年人应知应会法律手册 八五 普法应知应会法律手册 婚姻 赡养 收养 继承 养老保险 社会养老服务 权益保障 法律出版社 法制法律类书籍 法,27.840333333333326
老年人 读物,5,16,老人与海正版原著正版世界名著学校七八九年级老师初中生课外名著书籍初一二三年级彩插世界名著,26.100312499999994
老年人 读物,5,17,快乐读书吧五年级上下册田螺姑娘老人的智慧课外书人教版西游记三国演义红楼梦水浒传四大名著全套原著正版人民教育出版社小学生版 五年级快乐,24.36029166666666
老年人 读物,5,18,正版 老人与海 海明威 著 人民文学出版社 李育 中文版原著无删减统编语文阅读六年级初中生高中高一课外经典阅读文学名著 人民文学出版社：老人,22.62027083333333
老年人 读物,5,19,红楼梦 乡土中国 高中版 正版 乡土中国 红楼梦高中版 正版 高中高一课外阅读书籍书目青少年高中生版原著无删减版 人民文学出版社 高中版-老人与,20.880249999999997
老年人 读物,5,20,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德老人与海哈姆莱特呐喊彷徨谈美,19.140229166666664
老年人 读物,5,21,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德老人与海哈姆莱特呐喊彷徨谈美,17.40020833333333
老年人 读物,5,22,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德老人与海哈姆莱特呐喊彷徨谈美,15.6601875
老年人 读物,5,23,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德老人与海哈姆莱特呐喊彷徨谈美,13.920166666666667
老年人 读物,5,24,高中必读课外书籍 人民文学出版社高一高二高三全套16册高中课外阅读书籍必读正版书老人与海巴黎圣母院复活高老头唐吉坷德呐喊原著推荐适合高,12.180145833333327
老年人 读物,5,25,高中必读课外书籍 高一必读课外书籍 高中课外阅读书籍必读正版书老人与海巴黎圣母院复活高老头唐吉坷德呐喊原著推荐适合高中生看的名著课外书,10.440124999999995
老年人 读物,5,26,【新华书店 正版新书】老人与海 语文阅读推荐丛书 海明威 高一语文必读中小学生阅读指导目录高中语文阅读课外阅读暑期阅读学生阅读人民文学出,8.700104166666662
老年人 读物,5,27,【当当】当当老人与海 高中推荐名著阅读 名著阅读课程化丛书,6.96008333333333
老年人 读物,5,28,老人与海？ 世界文学经典名译文库 : 有声导读版,5.220062499999997
老年人 读物,5,29,老人与海 青少版 《青少年推荐阅读丛书》编委会 编 书籍,3.480041666666665
老年人 读物,5,30,高中必读课外书籍 高一必读课外书籍全套18册乡土中国红楼梦 人民教育出版社乡土中国高一必读论语阅读高中三国演义堂吉诃德人间词话呐喊彷徨老,1.7400208333333325
老人 书,1,1,图说天下·国家地理系列：走遍中国图书书香节,100.0
老人 书,1,2,自营包邮 中国古代文化常识（插图修订第4版）语言学大师王力主编，了解中国古代文化面貌全面的入门参考,96.66666666666667
老人 书,1,3,吃土：强健肠道、提升免疫系统 肠子的小心思吃出自愈力救命饮食疗减肥慢性疲劳关节甲状腺病身体由我成人儿童孕妇中老年人营养学抗炎保健养生,93.33333333333333
老人 书,1,4,中老年食疗养生一本全 保健饮食养生菜谱食品大全 养生大系老年人养生大全食谱调理 食疗营养健康百科全书 中老年食疗养生一本全,90.0
老人 书,1,5,中老年人必知的365个养生法（大字插图超值版） 阅读狂欢节,86.66666666666667
老人 书,1,6,姥姥语录 一路繁花 倪萍 倪萍真情挚爱之作，一位99岁质朴的生活智慧与心灵哲学 生活随笔女性 文学 随笔 央视主持人,83.33333333333334
老人 书,1,7,营养早餐分分钟就搞定 美味早餐 烹饪 美食 三明治 味觉 阅读狂欢节,80.0
老人 书,1,8,带一本书去巴黎,76.66666666666666
老人 书,1,9,中老年营养百科 近500页的饮食营养内容 更年期综合征、高血糖、高血脂、高血压等5大类中老年健康问题指导 200多种日常食物营养价值详解 助力中老,73.33333333333334
老人 书,1,10,营养治病养生大系中老年人食物营养学健康养生保健食谱四季养生日常疾病预防养生知识家庭营养健康保健养生 养生大系营养治病.,70.0
老人 书,1,11,素食家常菜一本就够（超值版）健康吃素 精美图解 阅读狂欢节,66.66666666666667
老人 书,1,12,老年人怎样才能更长寿（生活养生） 阅读狂欢节,63.33333333333333
老人 书,1,13,一个世纪的人生课,60.0
老人 书,1,14,301医院营养专家--老年人饮食营养一本通 阅读狂欢节,56.666666666666664
老人 书,1,15,蓝狗的眼睛,53.333333333333336
老人 书,1,16,【赠书签】老人与海 作家榜 中国现当代文学小说世界名著 学生课外阅读新华书店旗舰店正版,50.0
老人 书,1,17,中国居民膳食指南2025 中国居民膳食指南大全 引导国人树立科学饮食观 儿童青少年男性女性老年人居民饮食营养食谱 科学减肥食谱养生之道四季饮食,46.666666666666664
老人 书,1,18,老人与海 青少版,43.333333333333336
老人 书,1,19,小王子书老人与海动物庄园欧亨利傲慢与偏见月亮与六便士了不起的盖茨比假如给我三天光明爱丽丝漫游鲁滨逊漂流记瓦尔登湖 (附赠词汇注解手册),40.0
老人 书,1,20,全国老年大学统编教材 老年人八段锦教程（人邮体育出品） 阅读狂欢节,36.66666666666667
老人 书,1,21,食在好吃：老年人养生这样吃最好 养生保健 健康长寿 食疗,33.333333333333336
老人 书,1,22,老年人，吃得对才能活得好.老年人膳食营养营养误区老年朋友延年益寿,30.000000000000004
老人 书,1,23,老年人弹力带健身 大图大字视频版（人邮体育出品）,26.66666666666667
老人 书,1,24,老年人精神生活健康指南（第3版）,23.33333333333333
老人 书,1,25,老年人急救手册（大字 插图 超值版）,19.999999999999996
老人 书,1,26,老人与海 爱默森选集 含《第一炉香》《金锁记》等散文小说作品集 倾城,16.666666666666664
老人 书,1,27,中老年人身体功能训练指南（第2版）(人邮体育出品),13.33333333333333
老人 书,1,28,老人与海 带插图 名家翻译 诺贝尔奖得主 海明威 代表作 中小学生阅读指导目录推荐 儿童文学 世界名著,9.999999999999998
老人 书,1,29,老年人四季养生（上海市老年教育推荐用）,6.666666666666665
老人 书,1,30,【当当正版包邮】姥姥语录 主持人倪萍真情挚爱之作 一位99岁质朴的生活智慧与心灵哲学 正版书籍,3.3333333333333326
老人 书,2,1,老年人的膳食原则和常见营养问题（上）,85.0
老人 书,2,2,快乐老人健康枕边书,82.16666666666667
老人 书,2,3,老年人营养365（修订版）,79.33333333333333
老人 书,2,4,老年人心理与行为,76.5
老人 书,2,5,中老年人免疫力提升指导,73.66666666666667
老人 书,2,6,送给爸妈的健康书+老有所养-中老年人日常生活保健 更年期饮食中医调养法,70.83333333333334
老人 书,2,7,不完满 才自在 季羡林的人生智慧（蔡徐坤推荐）好的人生不纠结不较劲不勉强 百岁老人季羡林一生智,68.0
老人 书,2,8,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外读物 英文书籍中英双语版书籍英语书籍双语读物英语小说 可选套餐：童话故事 短篇小说,65.16666666666666
老人 书,2,9,老人与海 爱默森选集 含《第一炉香》《金锁记》等散文小说作品集 倾城,62.333333333333336
老人 书,2,10,"学会照顾,让父母的晚年更幸福 陈乃菁著 老年人护理书籍 养老照顾照顾父母居家照顾照顾患有老年痴呆症的父母 照顾老年人书籍",59.49999999999999
老人 书,2,11,【新华书店旗舰店官网】正版包邮 憨山大师文集 中土佛学大师圆觉经金刚金心经直说妙法莲华经楞严经起信论憨山梦游集,56.66666666666667
老人 书,2,12,小说月报大字版2023年精品集 正文字体11.8磅方正宋_GBK 专为中老年人打造的大字体小说月报 百花文艺出版社旗舰店,53.83333333333333
老人 书,2,13,汉王（Hanvon）汉王书墨韵手写板老人手写键盘输入板智能大板动写字板原笔迹签名数位板兼容多系统 墨韵,51.0
老人 书,2,14,誉国威可看小说电子书自动浏览无摄像头工厂保密学生按键手机全网通 粉红色 4G全网通 标配 【送保护套挂绳】,48.166666666666664
老人 书,2,15,他们从未忘记你：为阿尔茨海默病制造欢乐时光,45.333333333333336
老人 书,2,16,老年人膳食原则和常见营养问题（下）,42.5
老人 书,2,17,诺奖提名作品套装：局外人 老人与海 悉达多 人鼠之间 刺青（共5册） 自我与外部世界的抗争 文学大师之作品（读客三个圈经典文库） 小说,39.666666666666664
老人 书,2,18,老年人居家科学健身方法指导(人邮体育出品),36.833333333333336
老人 书,2,19,老年人日常运动健身指南,34.0
老人 书,2,20,疯癫老人日记 小说,31.166666666666668
老人 书,2,21,世上的果子，世上的人 65岁识字画画，人生随时都能精彩，记忆植物和故人，有趣的生命灿然,28.333333333333336
老人 书,2,22,古刻新韵(典藏9种共10册)(精),25.500000000000004
老人 书,2,23,全10册丨中英文双语版小王子书老人与海盖茨比三天光明安徒生格林童话伊索动物庄园等中小学课外 推荐阅读,22.66666666666667
老人 书,2,24,相约老年健康科普丛书——老年人运动健康一本通,19.83333333333333
老人 书,2,25,人间秀丽 万物有灵（每一个被生活压得喘不过气的人，都应该停下来读一读这本书。百岁老人季羡林给年轻人的生活哲学。赠精美主题藏书票）,16.999999999999996
老人 书,2,26,老年人养生这样吃很好 超值版,14.166666666666664
老人 书,2,27,今古奇观【全5册套装版】港台原版 抱瓮 好读出版 中国古典文学小说,11.33333333333333
老人 书,2,28,【新华书店正版书籍】中老年人这样用药 养生/保健 生理健康图书,8.499999999999998
老人 书,2,29,老年人居家锻炼计划视频版9787521424836+老年人精神生活健康指南老年人必读书籍老年人养生书籍中国医药科技出版社 2本套老年人居家锻炼计划老年人,5.666666666666665
老人 书,2,30,包邮 佛法修证心要上下册 元音老人文集 宗教文化出版社 略论明心见性 心经抉隐 修法修证心要问答集 楞严要解 中有成就秘笈,2.8333333333333326
老人 书,3,1,父母少生病，儿女更安心——老年人疫苗接种,72.24999999999999
老人 书,3,2,50岁开始的“你好人生” 好好保护自己（安全贴士 老年人友好大字版，写给老年人的安全之）,69.84166666666665
老人 书,3,3,老年人健康生活与照护,67.43333333333332
老人 书,3,4,失智与痴呆老人家庭照护手册 畅销超过40年的经典力作再升级 每一个患者家庭都应该掌握的温,65.02499999999999
老人 书,3,5,老年人养生，这样吃更好,62.61666666666666
老人 书,3,6,老年人能力评估,60.20833333333332
老人 书,3,7,老年人活动组织与策划,57.79999999999999
老人 书,3,8,老年人口腔健康100问,55.39166666666665
老人 书,3,9,老年人安全与合理用药管理手册,52.98333333333333
老人 书,3,10,老人漂泊社会 NHK特别节目录制组 译文纪实 文学,50.57499999999999
老人 书,3,11,老人如何食养——舌尖上的长寿健康指南,48.166666666666664
老人 书,3,12,老年人常见慢性病全病程规范化管理,45.75833333333332
老人 书,3,13,对症按摩养疗全书 正版图书 养生保健 家庭保健理疗 中医按摩疗法 中老年人按摩 儿童按摩 家用推拿按摩书籍,43.34999999999999
老人 书,3,14,老年人生活能力康复训练（职业教育健康养老类专业教材）,40.941666666666656
老人 书,3,15,中国土单方+百病食疗全2册 中医养生家庭食疗食谱营养健康百科保健饮食菜谱中老年养生老年人食疗养生,38.533333333333324
老人 书,3,16,老年人能力评估实务（职业教育健康养老类专业教材）,36.12499999999999
老人 书,3,17,关爱爸妈的健康书（全2册）送给爸妈的健康 更年期饮食中医调养法+老有所养 中老年人日常生活保健,33.71666666666666
老人 书,3,18,送给爸妈的健康书+老有所养：中老年人日常生活保健（全2册）中老年人日常生活保健享受健康人生,31.30833333333333
老人 书,3,19,老年人慢性病管理,28.899999999999995
老人 书,3,20,老人与海 梁文道推荐译本 朗读者推荐 李继宏倾心翻译,26.491666666666664
老人 书,3,21,正版菜谱老年人养生这样吃很好中老年人养生保健 老年人养生食谱 老年人饮食养生 饮食营养与健,24.083333333333332
老人 书,3,22,正版菜谱 老年人养生这样吃很好 中老年人养生保健 老年人养生食谱 老年人饮食养生,21.675
老人 书,3,23,巴金散文精选 中考热点作家 名家散文典藏彩插版 世纪巴金用至真的文字还原一位大家的风骨 收入《鸟的天堂》《怀念萧珊》《繁星》等名篇,19.266666666666666
老人 书,3,24,人体经络穴位使用全书 中医养生 推拿按摩技法手法大全 快速找穴位 儿童中老年人男女性健康手册经络疗法,16.858333333333327
老人 书,3,25,早餐来了 营养早餐食谱 早点早饭制作 美食菜谱 儿童食谱 烹饪美食 中式早点餐谱做法大全书籍,14.449999999999994
老人 书,3,26,【大字版】中老年人最爱的歌新歌+老歌大全集简谱歌曲 流行歌曲简谱 歌谱歌本歌词 经典老红歌歌曲大全集 音乐书籍歌曲大全,12.04166666666666
老人 书,3,27,中老年人身体功能训练指南 第2版 中老年人健身功能性训练健身书籍,9.63333333333333
老人 书,3,28,老年人饮食营养一本通-301医院营养专家,7.224999999999997
老人 书,3,29,老年人精神生活健康指南 第3版,4.816666666666665
老人 书,3,30,正版营养治病一本全 中老年人食物营养学健康养生保健食谱四季养生日常疾病预防养生知识读本 家庭营养,2.4083333333333323
老人 书,4,1,301医院营养专家--老年人饮食营养一本通,61.412499999999994
老人 书,4,2,现货 查理之书:一位109岁美国老人非凡生活的智慧 英文原版 The Book of Charlie: Wisdom from the Remarkable American Life of a 10,59.36541666666666
老人 书,4,3,老人与海 巴黎圣母院 红与黑 远大前程等 世界名著文学诗歌戏剧小说书籍 后浪正版现货,57.31833333333333
老人 书,4,4,来川英文原著分级阅读《老人与海》全新排版方式中英注释对照双语阅读课外读物 小学初中高中大学通用英语流畅阅读名著书籍 带音频 2本：汤姆索,55.271249999999995
老人 书,4,5,老人与海/爱默森选集/传奇,53.22416666666666
老人 书,4,6,父母懂营养儿女更安心 老年人合理膳食 守护父母健康系列 人民卫生出版社 刘英华 老年人怎么吃才对 正确认识保健品的功效,51.17708333333333
老人 书,4,7,洗澡之后 （杨绛新作，百岁老人依旧耕笔不辍，经典之作《洗澡》续篇）,49.129999999999995
老人 书,4,8,老年学百科全书——年龄、老龄化和老年人,47.082916666666655
老人 书,4,9,都城纪胜·西湖老人繁胜录,45.035833333333336
老人 书,4,10,19神秘老人失踪事件蓝色古堡探案事件/20与黑衣组织再次重逢,42.988749999999996
老人 书,4,11,正版古筮真诠 上下册 总论篇+易理篇 康节说易 邵雍(宋) 撰 野鹤(清) 编 李祥白话解读 学林出版社中国摇钱古卜讲义,40.94166666666667
老人 书,4,12,正版 广东菜大全 粤菜家常菜谱养生食谱书籍大全 儿童孕妇营养美食私房菜特色菜住家菜食疗 广东科技出版社 粤厨宝典 厨园篇(升级版)潘英俊,38.89458333333333
老人 书,4,13,正版 广东菜大全 粤菜家常菜谱养生食谱书籍大全 儿童孕妇营养美食私房菜特色菜住家菜食疗 广东科技出版社 鼎爷厨房1(李家鼎)家传粤式手工菜,36.8475
老人 书,4,14,论领导力 基辛格遗作 赠导读手册《论中国》三部曲终章 百岁老人给这个世界的忠告和建议 世界秩序 成事法则 人工智能时代与人类未来 新华文轩旗,34.80041666666666
老人 书,4,15,来川英文原著分级阅读·伊索寓言 经典寓言故事英文版 上英下汉 不查单词读原著 小学生初中课外书籍英语读物儿童兴趣课外 赠音频 10本：伊索童,32.75333333333333
老人 书,4,16,藏园老人手稿（全16册 原装箱 共2箱）中华书局,30.706249999999997
老人 书,4,17,失智老人照护师,28.659166666666664
老人 书,4,18,完整版增删卜易上下册 卜筮正宗 野鹤老人原著原版白话注释 周易风水学入门基础图解六爻摇铜钱预测学书籍 中医古籍出版社,26.61208333333333
老人 书,4,19,正版新书 佛法修正心要—元音老人文集（上下册） 元音老人 宗教出版社9787802544338,24.564999999999998
老人 书,4,20,潔古老人注王叔和脉訣（校點本） 2024年7月参考,22.517916666666668
老人 书,4,21,元音老人文集 佛法修证心要上下 元音老人　著 宗教文化出版社,20.470833333333335
老人 书,4,22,全3册 食养食补食疗大全书+食到病除+四季养生正版中医家庭药膳书籍老年人健康饮食养生营养学食谱一日三餐简单菜谱百病食疗 谱百病食疗,18.423750000000002
老人 书,4,23,不生病的智慧马悦凌著气血养生真法中老年人家庭保健知识书籍 不生病的智慧马....,16.37666666666667
老人 书,4,24,小动作大健康适合老人看的书只有医生知道的营养学告诉您得了糖尿病就该这么吃让糖尿病患者吃好每天3顿饭 家常菜里的降血糖小偏方,14.329583333333328
老人 书,4,25,天海音【外贸出口]新款中老年人电吹管乐器大全萨克斯电子吹管笛子初学 【新款亮黑色】标配+教程曲谱,12.282499999999995
老人 书,4,26,洁古老人注王叔和脉诀（校点本）,10.235416666666664
老人 书,4,27,圆觉经金刚金心经直说妙法莲华经楞严经起信论憨山梦游集九州出版佛教书籍 憨山德清著,8.18833333333333
老人 书,4,28,【正版微瑕品】社区老年人认知障碍诊断与干预 李霞 编,6.141249999999998
老人 书,4,29,精装老年食养食补食疗大全书正版中医家庭药膳书籍老年人健康饮食养生营养学食谱一日三餐简单术后营养汤菜谱百病食疗 谱百病食疗,4.094166666666665
老人 书,4,30,301医院营养专家--老年人饮食营养一本通 营养一本通 营养一本通,2.0470833333333327
老人 书,5,1,新华正版包邮 中国老年自我健康管理手册 陈作兵 滕世助 刘英华 全面系统地论述了老年人群如何做好自我健康管理 人民卫生出版社 新华文轩旗舰店,52.20062499999999
老人 书,5,2,饮食决定长寿：“挑”食造就百岁老人 健康生活研究组 主编 新世界出版社【正版】,50.460604166666656
老人 书,5,3,正版古筮真诠 上下册 总论篇+易理篇 康节说易 邵雍(宋) 撰 野鹤(清) 编 朱辰彬白话解读 学林出版社中国摇钱古卜讲义 全套,48.72058333333332
老人 书,5,4,京氏易精粹全5册 黄金策周易尚占海底眼野鹤占卜全书易隐易冒,46.98056249999999
老人 书,5,5,老年人慢性病管理,45.24054166666666
老人 书,5,6,中老年人必知的365个养生法：大字插图超值版 中老年人养生宝典,43.500520833333326
